step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_1_stopped,tl_1_accumulated_waiting_time,tl_1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
675.0,99,1169.0,6.251336898395722,1.892270671197619,99,17593.0,0.07056572567074164,99,17593.0
680.0,90,956.0,5.139784946236559,2.515800624786003,90,16443.0,0.0881193244076002,90,16443.0
685.0,98,1067.0,5.675531914893617,2.3908001425410514,96,16614.0,0.08506857438313917,96,16614.0
690.0,94,1136.0,5.916666666666667,2.2549310866663657,94,17060.0,0.088207353113342,94,17060.0
695.0,91,1015.0,5.259067357512953,2.342651017416585,91,16969.0,0.09630435956408429,91,16969.0
700.0,89,799.0,4.118556701030927,2.459438704037979,87,17308.0,0.09487893846150056,87,17308.0
705.0,95,881.0,4.612565445026178,2.2101975222752217,93,17681.0,0.08783211512745491,93,17681.0
710.0,104,1094.0,5.881720430107527,1.7468085605726167,104,18179.0,0.07074037319336518,104,18179.0
715.0,96,1043.0,5.668478260869565,1.73394996934414,96,17814.0,0.06672280050511215,96,17814.0
720.0,85,922.0,5.122222222222222,2.2768572023762848,85,16579.0,0.09152352050077289,85,16579.0
725.0,87,1002.0,5.301587301587301,2.495581407944145,85,16377.0,0.0998696752679981,85,16377.0
730.0,89,1122.0,5.84375,2.8037611082910714,87,16495.0,0.11106760880114866,87,16495.0
735.0,96,1280.0,6.530612244897959,2.9315100307407325,94,16660.0,0.11306444177036043,94,16660.0
740.0,100,1487.0,7.664948453608248,3.0226745290452968,98,16905.0,0.12066450172795362,98,16905.0
745.0,104,1653.0,8.609375,2.643479381538445,104,17402.0,0.10271249620700494,104,17402.0
750.0,90,1428.0,7.718918918918919,2.5889362791384944,90,17279.0,0.11364553203797285,90,17279.0
755.0,77,1054.0,5.855555555555555,2.752937860269401,75,17275.0,0.12154718553480669,75,17275.0
760.0,81,1087.0,6.005524861878453,2.8047274292873583,79,17531.0,0.12642595506687415,79,17531.0
765.0,98,1453.0,7.939890710382514,2.6064125544823122,98,17917.0,0.11679317686142544,98,17917.0
770.0,106,1575.0,8.422459893048128,2.3200192939815545,106,17524.0,0.0913790195075738,106,17524.0
775.0,107,1524.0,8.063492063492063,2.658414811849941,106,16170.0,0.10160868136035962,106,16170.0
780.0,106,1531.0,8.100529100529101,2.3758610506831044,104,16309.0,0.08470786713802891,104,16309.0
785.0,107,1618.0,8.427083333333334,2.5229708129033077,105,16576.0,0.08752338848299317,105,16576.0
